order_id,customer_id,product_id,quantity,order_date,product_name,category,unit_price,customer_name,city,country,order_amount
O00001,C004,P001,44,2025-10-07,无线鼠标,电子产品,89.0,赵六电子商务,深圳,中国,3916.0
O00055,C004,P001,42,,无线鼠标,电子产品,89.0,赵六电子商务,深圳,中国,3738.0
O00072,C004,P002,1,,机械键盘,电子产品,299.0,赵六电子商务,深圳,中国,299.0
O00035,C004,P011,17,,运动鞋,服装,459.0,赵六电子商务,深圳,中国,7803.0
O00108,C004,P018,9,,坚果礼盒,食品,188.0,赵六电子商务,深圳,中国,1692.0
O00073,C004,P004,24,,笔记本电脑,电子产品,4999.0,赵六电子商务,深圳,中国,119976.0
O00063,C004,P017,19,,绿茶礼盒,食品,268.0,赵六电子商务,深圳,中国,5092.0
O00059,C004,P013,49,,牛仔裤,服装,299.0,赵六电子商务,深圳,中国,14651.0
O00025,C004,P019,13,2025-02-18,蜂蜜,食品,158.0,赵六电子商务,深圳,中国,2054.0
O00015,C002,P001,18,,无线鼠标,电子产品,89.0,李四贸易公司,上海,中国,1602.0
O00024,C002,P002,32,,机械键盘,电子产品,299.0,李四贸易公司,上海,中国,9568.0
O00013,C002,P005,10,,智能手机,电子产品,3999.0,李四贸易公司,上海,中国,39990.0
O00093,C002,P020,14,2025-05-16,燕麦片,食品,45.0,李四贸易公司,上海,中国,630.0
O00033,C002,P003,16,2025-07-26,显示器27寸,电子产品,1299.0,李四贸易公司,上海,中国,20784.0
O00090,C002,P003,10,,显示器27寸,电子产品,1299.0,李四贸易公司,上海,中国,12990.0
O00091,C002,P003,39,,显示器27寸,电子产品,1299.0,李四贸易公司,上海,中国,50661.0
O00029,C002,P018,11,,坚果礼盒,食品,188.0,李四贸易公司,上海,中国,2068.0
O00119,C002,P006,44,,蓝牙耳机,电子产品,199.0,李四贸易公司,上海,中国,8756.0
O00114,C007,P001,5,,无线鼠标,电子产品,89.0,周九进出口公司,武汉,中国,445.0
O00054,C007,P007,40,,平板电脑,电子产品,3299.0,周九进出口公司,武汉,中国,131960.0
O00009,C007,P008,45,,智能手表,电子产品,1599.0,周九进出口公司,武汉,中国,71955.0
O00065,C007,P011,25,2025-10-27,运动鞋,服装,459.0,周九进出口公司,武汉,中国,11475.0
O00014,C007,P014,34,,羽绒服,服装,899.0,周九进出口公司,武汉,中国,30566.0
O00021,C007,P017,49,,绿茶礼盒,食品,268.0,周九进出口公司,武汉,中国,13132.0
O00005,C009,P002,6,,机械键盘,电子产品,299.0,郑十一科技,西安,中国,1794.0
O00088,C009,P002,41,2025-09-09,机械键盘,电子产品,299.0,郑十一科技,西安,中国,12259.0
O00037,C009,P003,5,,显示器27寸,电子产品,1299.0,郑十一科技,西安,中国,6495.0
O00045,C009,P004,40,,笔记本电脑,电子产品,4999.0,郑十一科技,西安,中国,199960.0
O00060,C009,P017,30,,绿茶礼盒,食品,268.0,郑十一科技,西安,中国,8040.0
O00082,C009,P009,47,,移动电源,电子产品,79.0,郑十一科技,西安,中国,3713.0
O00010,C001,P002,5,,机械键盘,电子产品,299.0,张三科技有限公司,北京,中国,1495.0
O00118,C001,P002,10,,机械键盘,电子产品,299.0,张三科技有限公司,北京,中国,2990.0
O00099,C001,P011,37,2025-10-28,运动鞋,服装,459.0,张三科技有限公司,北京,中国,16983.0
O00016,C001,P014,17,,羽绒服,服装,899.0,张三科技有限公司,北京,中国,15283.0
O00047,C001,P004,30,,笔记本电脑,电子产品,4999.0,张三科技有限公司,北京,中国,149970.0
O00116,C001,P016,44,,咖啡豆,食品,128.0,张三科技有限公司,北京,中国,5632.0
O00066,C001,P019,25,,蜂蜜,食品,158.0,张三科技有限公司,北京,中国,3950.0
O00069,C001,P019,30,2025-04-04,蜂蜜,食品,158.0,张三科技有限公司,北京,中国,4740.0
O00046,C001,P006,27,,蓝牙耳机,电子产品,199.0,张三科技有限公司,北京,中国,5373.0
O00106,C001,P006,8,2025-08-25,蓝牙耳机,电子产品,199.0,张三科技有限公司,北京,中国,1592.0
O00058,C008,P002,30,,机械键盘,电子产品,299.0,吴十商贸有限公司,南京,中国,8970.0
O00105,C008,P005,2,,智能手机,电子产品,3999.0,吴十商贸有限公司,南京,中国,7998.0
O00080,C008,P003,40,,显示器27寸,电子产品,1299.0,吴十商贸有限公司,南京,中国,51960.0
O00011,C008,P011,30,,运动鞋,服装,459.0,吴十商贸有限公司,南京,中国,13770.0
O00031,C008,P018,4,,坚果礼盒,食品,188.0,吴十商贸有限公司,南京,中国,752.0
O00079,C008,P018,18,,坚果礼盒,食品,188.0,吴十商贸有限公司,南京,中国,3384.0
O00026,C008,P012,42,2025-11-27,休闲T恤,服装,99.0,吴十商贸有限公司,南京,中国,4158.0
O00110,C008,P016,36,,咖啡豆,食品,128.0,吴十商贸有限公司,南京,中国,4608.0
O00092,C008,P013,28,,牛仔裤,服装,299.0,吴十商贸有限公司,南京,中国,8372.0
O00089,C008,P019,4,,蜂蜜,食品,158.0,吴十商贸有限公司,南京,中国,632.0
O00095,C012,P002,5,,机械键盘,电子产品,299.0,林十四电商,苏州,中国,1495.0
O00038,C012,P015,42,2025-09-28,棒球帽,服装,69.0,林十四电商,苏州,中国,2898.0
O00107,C012,P005,27,,智能手机,电子产品,3999.0,林十四电商,苏州,中国,107973.0
O00008,C012,P007,39,,平板电脑,电子产品,3299.0,林十四电商,苏州,中国,128661.0
O00111,C012,P011,50,2025-07-30,运动鞋,服装,459.0,林十四电商,苏州,中国,22950.0
O00012,C012,P018,26,,坚果礼盒,食品,188.0,林十四电商,苏州,中国,4888.0
O00052,C012,P018,28,,坚果礼盒,食品,188.0,林十四电商,苏州,中国,5264.0
O00075,C012,P013,41,2025-05-05,牛仔裤,服装,299.0,林十四电商,苏州,中国,12259.0
O00086,C012,P006,49,,蓝牙耳机,电子产品,199.0,林十四电商,苏州,中国,9751.0
O00104,C006,P002,29,,机械键盘,电子产品,299.0,孙八零售店,成都,中国,8671.0
O00006,C006,P020,3,,燕麦片,食品,45.0,孙八零售店,成都,中国,135.0
O00070,C006,P011,18,,运动鞋,服装,459.0,孙八零售店,成都,中国,8262.0
O00102,C006,P004,43,,笔记本电脑,电子产品,4999.0,孙八零售店,成都,中国,214957.0
O00003,C013,P015,11,,棒球帽,服装,69.0,黄十五集团,青岛,中国,759.0
O00004,C013,P005,7,,智能手机,电子产品,3999.0,黄十五集团,青岛,中国,27993.0
O00056,C013,P007,11,2025-12-04,平板电脑,电子产品,3299.0,黄十五集团,青岛,中国,36289.0
O00061,C013,P018,47,,坚果礼盒,食品,188.0,黄十五集团,青岛,中国,8836.0
O00109,C013,P014,19,,羽绒服,服装,899.0,黄十五集团,青岛,中国,17081.0
O00117,C013,P014,29,,羽绒服,服装,899.0,黄十五集团,青岛,中国,26071.0
O00020,C013,P016,43,,咖啡豆,食品,128.0,黄十五集团,青岛,中国,5504.0
O00112,C013,P016,42,,咖啡豆,食品,128.0,黄十五集团,青岛,中国,5376.0
O00100,C013,P009,42,,移动电源,电子产品,79.0,黄十五集团,青岛,中国,3318.0
O00028,C015,P015,36,2025-02-20,棒球帽,服装,69.0,高十七商贸,厦门,中国,2484.0
O00018,C015,P018,1,2025-09-08,坚果礼盒,食品,188.0,高十七商贸,厦门,中国,188.0
O00067,C015,P018,28,2025-09-06,坚果礼盒,食品,188.0,高十七商贸,厦门,中国,5264.0
O00096,C015,P019,15,,蜂蜜,食品,158.0,高十七商贸,厦门,中国,2370.0
O00036,C015,P010,30,,USB数据线,电子产品,29.0,高十七商贸,厦门,中国,870.0
O00085,C005,P015,21,,棒球帽,服装,69.0,钱七集团,杭州,中国,1449.0
O00042,C005,P005,46,,智能手机,电子产品,3999.0,钱七集团,杭州,中国,183954.0
O00017,C005,P004,13,,笔记本电脑,电子产品,4999.0,钱七集团,杭州,中国,64987.0
O00053,C005,P004,21,,笔记本电脑,电子产品,4999.0,钱七集团,杭州,中国,104979.0
O00087,C005,P004,1,,笔记本电脑,电子产品,4999.0,钱七集团,杭州,中国,4999.0
O00098,C005,P010,6,2025-11-03,USB数据线,电子产品,29.0,钱七集团,杭州,中国,174.0
O00040,C010,P005,44,,智能手机,电子产品,3999.0,王十二贸易,重庆,中国,175956.0
O00113,C010,P005,29,,智能手机,电子产品,3999.0,王十二贸易,重庆,中国,115971.0
O00084,C010,P008,23,,智能手表,电子产品,1599.0,王十二贸易,重庆,中国,36777.0
O00051,C010,P004,1,,笔记本电脑,电子产品,4999.0,王十二贸易,重庆,中国,4999.0
O00034,C010,P019,1,,蜂蜜,食品,158.0,王十二贸易,重庆,中国,158.0
O00076,C010,P010,37,,USB数据线,电子产品,29.0,王十二贸易,重庆,中国,1073.0
O00120,C011,P005,1,,智能手机,电子产品,3999.0,陈十三实业,天津,中国,3999.0
O00048,C011,P008,5,,智能手表,电子产品,1599.0,陈十三实业,天津,中国,7995.0
O00083,C011,P008,2,,智能手表,电子产品,1599.0,陈十三实业,天津,中国,3198.0
O00039,C011,P018,17,2025-03-01,坚果礼盒,食品,188.0,陈十三实业,天津,中国,3196.0
O00022,C011,P013,29,,牛仔裤,服装,299.0,陈十三实业,天津,中国,8671.0
O00057,C014,P020,20,,燕麦片,食品,45.0,何十六零售,大连,中国,900.0
O00007,C014,P003,41,,显示器27寸,电子产品,1299.0,何十六零售,大连,中国,53259.0
O00019,C014,P012,16,2025-10-18,休闲T恤,服装,99.0,何十六零售,大连,中国,1584.0
O00078,C014,P012,12,,休闲T恤,服装,99.0,何十六零售,大连,中国,1188.0
O00049,C014,P013,8,,牛仔裤,服装,299.0,何十六零售,大连,中国,2392.0
O00068,C014,P013,40,2025-10-01,牛仔裤,服装,299.0,何十六零售,大连,中国,11960.0
O00115,C014,P013,35,,牛仔裤,服装,299.0,何十六零售,大连,中国,10465.0
O00101,C014,P019,23,,蜂蜜,食品,158.0,何十六零售,大连,中国,3634.0
O00041,C014,P009,18,2025-01-23,移动电源,电子产品,79.0,何十六零售,大连,中国,1422.0
O00062,C003,P018,17,,坚果礼盒,食品,188.0,王五实业有限公司,广州,中国,3196.0
O00064,C003,P018,46,2025-04-20,坚果礼盒,食品,188.0,王五实业有限公司,广州,中国,8648.0
O00074,C003,P004,2,,笔记本电脑,电子产品,4999.0,王五实业有限公司,广州,中国,9998.0
O00081,C003,P016,17,,咖啡豆,食品,128.0,王五实业有限公司,广州,中国,2176.0
O00030,C003,P013,17,,牛仔裤,服装,299.0,王五实业有限公司,广州,中国,5083.0
O00094,C003,P006,1,,蓝牙耳机,电子产品,199.0,王五实业有限公司,广州,中国,199.0
